video_title,webVideoUrl,Account,date_published,likeCount,shareCount,playCount,commentCount,videoMeta.duration,hashtags,time_period
"Tax cuts could be coming to Mississippi this year. What would they look like?

Political Reporter Taylor Vance breaks down the proposals lawmakers are set to debate.

#mississippi #msleg #mspolitics #politicstiktok",https://www.tiktok.com/@mississippitoday/video/7455774095351762207,Mississippi Today,1/3/2025,1181,87,255100,141,83,"[""mississippi','msleg','mspolitics','politicstiktok""]",14:57:57
"If state lawmakers can strike a deal, Donald Trump's return to the White House could make medicaid expansion a reality in Mississippi. 

Community Health Reporter Sophia Paffenroth explains what remains at odds between state lawmakers.

#mississippi #mspolitics #msleg #politicstiktok",https://www.tiktok.com/@mississippitoday/video/7455810816252661022,Mississippi Today,1/4/2025,56,2,10100,25,97,"[""mississippi','mspolitics','msleg','politicstiktok""]",14:30:23
"Join Marshall Ramsey and Chris Lockhart of Capital City Kayaks (@capitalcitykayaks) for a tour of one of the best kept secrets in Jackson to kick off a new season of Mississippi Stories!

Catch this episode on Mississippi Today's YouTube channel on Tuesday, 1/14 at 8 a.m.
#mississippi #jackson #jacksonms #mississippistories",https://www.tiktok.com/@mississippitoday/video/7458362013190737183,Mississippi Today,1/11/2025,95,10,2556,9,37,"[""mississippi','jackson','jacksonms','mississippistories""]",20:57:57
"Marshall Ramsey is back with another episode of Mississippi Stories, this time with @landontalks!

Marshall caught up with the viral sensation to talk about his stand-up comedy, new book, and his hometown of Laurel.

Catch this episode on Tuesday at 8 a.m. on Mississippi Today's YouTube Channel!",https://www.tiktok.com/@mississippitoday/video/7463558823215648031,Mississippi Today,1/25/2025,101,3,2440,4,20,"[""""]",20:07:25
"Landon Bryant has been doing stand-up long before he got on stage 

Watch the latest episode of Mississippi Stories - out now on Mississippi Today's YouTube channel!",https://www.tiktok.com/@mississippitoday/video/7465017570710523167,Mississippi Today,1/29/2025,66,1,2121,3,35,"[""""]",19:44:36
"From beating Notre Dame to giving back to his hometown of Ripley, James Storey has had a life full of highlights.

Catch him on the latest episode of Mississippi Stories - Tuesday at 8 a.m.!

#olemissfootball#notredamefootball #mississippitoday #mississippi #mississippistories",https://www.tiktok.com/@mississippitoday/video/7466166884010888479,Mississippi Today,2/1/2025,90,3,4368,8,31,"[""olemissfootball','notredamefootball','mississippitoday','mississippi','mississippistories""]",18:46:04
"Why are Mississippi lawmakers debating a bill they already passed?

Community Health Reporter Sophia Paffenroth gives the latest on efforts to fix presumptive eligibility in Mississippi.

#mississippi #mississippitoday #msleg",https://www.tiktok.com/@mississippitoday/video/7467625344971853086,Mississippi Today,2/4/2025,101,7,11500,3,40,"[""mississippi','mississippitoday','msleg""]",18:19:13
"What inspires James Storey to give back to his hometown of Ripley?

Catch the latest episode of Mississippi Stories on Mississippi Today's YouTube channel!

#ripley #mississippi 
#mississippitoday #mississippistories",https://www.tiktok.com/@mississippitoday/video/7467624493045927198,Mississippi Today,2/5/2025,59,4,2805,8,15,"[""ripley','mississippi','mississippitoday','mississippistories""]",19:43:17
"Why are Mississippi lawmakers wanting to send tax dollars to private schools?

Political Reporter Michael Goldberg has more on the school choice debate in Mississippi.

#msleg #mississippi #education #schoolchoice #mstoday #mississippitoday",https://www.tiktok.com/@mississippitoday/video/7470180726823013663,Mississippi Today,2/12/2025,303,13,6326,58,94,"[""msleg','mississippi','education','schoolchoice','mstoday','mississippitoday""]",14:21:10
"For the fourth straight year, Mississippi legislators failed to pass a proposal that would restore voters’ right to sidestep the Legislature and put measures on a statewide ballot.

Political Reporter Taylor Vance explains how we got here.

#msleg #ballotinitiative #ballotinitiatives #mississippi #mississippipolitics #politics #politicstiktok #mississippitoday #mstodaynews #mstoday",https://www.tiktok.com/@mississippitoday/video/7474755028893404447,Mississippi Today,2/24/2025,667,30,15500,58,94,"[""msleg','ballotinitiative','ballotinitiatives','mississippi','mississippipolitics','politics','politicstiktok','mississippitoday','mstodaynews','mstoday""]",20:37:26
"Last week saw the largest development in the case of Jimmie ""Jay"" Lee since Lee's remains were discovered in Carroll County.  

Mississippi Today's Molly Minta outlines the latest legal action.
#mississippi #mississippitoday #mstodaynews #jimmiejaylee #mstoday #olemiss",https://www.tiktok.com/@mississippitoday/video/7478093801421049118,Mississippi Today,3/5/2025,134,2,4142,0,60,"[""mississippi','mississippitoday','mstodaynews','jimmiejaylee','mstoday','olemiss""]",20:53:51
"This Mississippian could...save the world?

Mississippi Today Editor-in-Chief Adam Ganucheau makes the case for Mississippi Senator Roger Wicker being the one person who could influence President Donald Trump amid his reversals of decades-old foreign policy related to Russia and Ukraine.

#mississippitoday #mstodaynews #mississippi #mspolitics #russia #ukraine #uspolitics #congress #news #politicalnews #politics #trump #mstoday",https://www.tiktok.com/@mississippitoday/video/7480279032097934623,Mississippi Today,3/10/2025,983,79,13600,136,242,"[""mississippitoday','mstodaynews','mississippi','mspolitics','russia','ukraine','uspolitics','congress','news','politicalnews','politics','trump','mstoday""]",19:57:50
"Follow a Kemp's ridley sea turtle from rehab to release at the MS Aquarium   

Dr. Alexa Delaune of the Mississippi Aquarium leads the team that rehabs cold-stunned Kemps ridley sea turtles back to health.  

Visit @mississippiaquarium for more details on how to adopt a sea turtle!

@turtlefly2

#mstoday #mstodaynews #mississippiaquarium #seaturtle #seaturtles #seaturtlesoftiktok #seaturtlerescue #biloxi #biloximississippi #turtlesflytoo #mississippi #mississippitoday",https://www.tiktok.com/@mississippitoday/video/7485510109595045150,Mississippi Today,3/24/2025,155,20,2822,1,111,"[""mstoday','mstodaynews','mississippiaquarium','seaturtle','seaturtles','seaturtlesoftiktok','seaturtlerescue','biloxi','biloximississippi','turtlesflytoo','mississippi','mississippitoday""]",12:20:26
"What led to the passage of the first total state income tax elimination in American history?

Typos.
#mstoday #mstodaynews #mississippi #mspolitics #news #politicalnews #politics #msleg #mslegislature #taxes #taxnews #taxcut #incometax #incometaxes",https://www.tiktok.com/@mississippitoday/video/7486492899794750751,Mississippi Today,3/27/2025,380,94,20100,73,92,"[""mstoday','mstodaynews','mississippi','mspolitics','news','politicalnews','politics','msleg','mslegislature','taxes','taxnews','taxcut','incometax','incometaxes""]",18:46:00
"Bryan Bailey, the Mississippi sheriff whose department had been under federal investigation for torturing people, staffed his mother’s commercial chicken farm with inmates from the county jail and used taxpayer-purchased equipment to improve the grounds, according to four former inmates and a former deputy who said they had worked on the farm.

They said inmates with special privileges, known as trusties, were repeatedly driven to the farm south of Puckett — sometimes by Sheriff Bailey himself — to perform various tasks on top of their daily work duties for Rankin County.

Former trusties and others who worked on Sheriff Bailey’s family farm said inmates had received cash or meals in exchange for the work. The former deputy, Christian Dedmon, who is currently serving a federal prison sentence, said he had worked on the farm while he was on the clock at the sheriff’s department.

Hours after the publication of this investigation on Thursday, the attorney representing the Rankin County Sheriff’s Department, Jason Dare, issued a statement to some local news outlets conceding that Bailey used trusties to work on his farm and explaining that chicken supplies the department had purchased using county funds were for chickens kept on jail grounds for inmates’ benefit. The statement stopped short of directly denying some other allegations in the investigation, including that Bailey and others used a $97,000 construction vehicle bought in 2019 with department funds to clear land on the farm.

#mstoday #mstodaynews #mississippi #news #rankincounty #rankincountyms #rankincountymississippi #bryanbailey #rankincountysheriffsdept",https://www.tiktok.com/@mississippitoday/video/7488171627713252638,Mississippi Today,4/1/2025,35300,3929,164700,1617,142,"[""mstoday','mstodaynews','mississippi','news','rankincounty','rankincountyms','rankincountymississippi','bryanbailey','rankincountysheriffsdept""]",21:06:52
"Mississippi schools and the state education system are set to lose over $137 million in federal funds after the U.S. Department of Education halted access to pandemic-era grant money.

The abrupt loss of funds sent Mississippi public and private school leaders rushing to brace for the impact of wide ranging cuts. Some were already forced to fire grant-funded teachers, coaches and nurses.

At St. Richard Catholic School in Jackson, Father Joe Tonos and Principal Russ Nelson said the school would lose approximately $1.5 million, funds that pay staff salaries and fund programs for mental health. All schools staffers who were employed through grants were to be fired.

“This funding was not just a budgetary line item; it was a transformational support system for our school,” Nelson wrote in a memo reviewed by Mississippi Today. “Without it, we are facing difficult decisions and significant setbacks in our mission to provide a high-quality, supportive education for every student.”

#mstoday #mstodaynews #mississippi #news #politicalnews #politics #education #mississippischools #trump #trumpadministration",https://www.tiktok.com/@mississippitoday/video/7491876357677272350,Mississippi Today,4/11/2025,1224,182,20700,102,117,"[""mstoday','mstodaynews','mississippi','news','politicalnews','politics','education','mississippischools','trump','trumpadministration""]",17:16:31
"It’s April, which means we can anticipate any day now Governor Tate Reeves will sign a proclamation declaring April Confederate Heritage Month. 

For over three decades Reeves and four previous governors have issued such a proclamation.

What exactly is Mississippi recognizing when its leaders celebrate “Confederate Heritage”?

#mstoday #mstodaynews #mississippi #news #mississippihistory #reeves #tatereeves",https://www.tiktok.com/@mississippitoday/video/7492522870933966111,Mississippi Today,4/12/2025,788,63,16600,37,186,"[""mstoday','mstodaynews','mississippi','news','mississippihistory','reeves','tatereeves""]",20:30:44
"Blanche Bruce's service to Mississippi outlasted the Confederate States of America by one year and three months.

Bruce was the first Black American to serve a full term in the Senate, the first Black American to preside over the Senate, which also means he was the first AND ONLY former slave to ever do so.

Yet Mississippi has no registered historical site in recognition of Blanche Bruce. 

Nor does he have a historical marker on record. 

But we do have three separate Confederate themed holidays.
#mstoday #mstodaynews #mississippi #news #mississippihistory",https://www.tiktok.com/@mississippitoday/video/7494361023281990943,Mississippi Today,4/17/2025,326,16,4044,12,224,"[""mstoday','mstodaynews','mississippi','news','mississippihistory""]",18:05:20
"Governor Tate Reeves officially proclaimed April Confederate Heritage Month last week.  

In the latest installment of Outlasted the Confederacy, Managing Editor Michael Guidry highlights Burger King's Creepy King mascot which lasted almost twice as long as the Confederacy.

#mississippitoday #mississippi #mstoday #mstodaynews #mississippihistory #burgerking #creepyking",https://www.tiktok.com/@mississippitoday/video/7495888075864739103,Mississippi Today,4/22/2025,822,56,8585,24,228,"[""mississippitoday','mississippi','mstoday','mstodaynews','mississippihistory','burgerking','creepyking""]",16:23:31
"This former SEC school’s membership in the conference lasted nearly three decades longer than the Confederacy.

While Tulane's exit was not rooted in racial equality and access to opportunity, it was a reaction to a changing landscape.

When will Mississippi read the room?
#mississippitoday #mississippi #mstoday #mstodaynews #mississippihistory #tulane #tulaneuniversity #tulanefootball #tulanebaseball #SEC #SECfootball",https://www.tiktok.com/@mississippitoday/video/7497367975322799390,Mississippi Today,4/25/2025,1154,65,16800,16,224,"[""mississippitoday','mississippi','mstoday','mstodaynews','mississippihistory','tulane','tulaneuniversity','tulanefootball','tulanebaseball','sec','secfootball""]",20:33:53
"The University of Mississippi has yet to find a permanent replacement to Colonel Reb. 

Though one of their rebranding attempts did last longer than the Confederacy.
#mississippitoday #mississippi #mstoday #mstodaynews #mississippihistory #SEC #SECfootball #olemiss #olemissrebels",https://www.tiktok.com/@mississippitoday/video/7498183215383923999,Mississippi Today,4/28/2025,4840,341,82600,163,295,"[""mississippitoday','mississippi','mstoday','mstodaynews','mississippihistory','sec','secfootball','olemiss','olemissrebels""]",20:48:21
"Mississippi’s House Speaker Jason White, some House staff and two spouses were treated to a trip to the Super Bowl this year, paid at least in part by DraftKings, as Speaker White was overseeing the House’s approval of a bill that would legalize mobile sports betting in Mississippi.

And due to Mississippi’s lax lobbying laws, there is no public report to date of this and no requirement to produce one until 2026.

The group included Speaker White, his wife, his taxpayer funded security guard, three House staff members and the husband of one of those staff members.

White and his staffers have declined to comment on the trip.

Read the full story for free at mississippitoday.org

#mississippitoday #mstoday #mississippi #mstodaynews #msleg #mspolitics #superbowl #superbowl2025",https://www.tiktok.com/@mississippitoday/video/7498484860122713374,Mississippi Today,4/29/2025,7721,825,121800,229,139,"[""mississippitoday','mstoday','mississippi','mstodaynews','msleg','mspolitics','superbowl','superbowl2025""]",21:08:00
"Fannie Lou Hamer was ""sick and tired of being sick and tired"" and helped launch a political movement that lasted longer than the Confederacy.

The Mississippi Democratic Freedom Party - founded in April 1964 - lasted until August of 1968. That’s a span of four years and four months - one month more than the Confederacy.

And its entire existence was rooted in challenging many of the residual aftershocks of the Confederacy.

On this final day of Confederate Heritage Month, let all of Mississippi ask of itself, which of these two legacies mocks the ideals of democracy, and which seeks to preserve them? 

And which should we care more about?

#mississippitoday #mstoday #mississippi #mstodaynews #mfdp #fannielouhamer #politics #politicaltok #politicstiktok #mississippihistory #mspolitics",https://www.tiktok.com/@mississippitoday/video/7498941494351564078,Mississippi Today,4/30/2025,477,9,3712,10,286,"[""mississippitoday','mstoday','mississippi','mstodaynews','mfdp','fannielouhamer','politics','politicaltok','politicstiktok','mississippihistory','mspolitics""]",19:14:11
